mH,mS,Lifetime,MCCampaign,RucioDSName,Use,Tags,Comments
125,5,9,mc16d,mc16_13TeV:mc16_13TeV.311310.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,5,9,mc16e,mc16_13TeV:mc16_13TeV.311310.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,Missing in Xcache
125,15,5,mc16a,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,15,5,mc16d,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,Missing in Xcache
125,15,5,mc16e,mc16_13TeV:mc16_13TeV.311311.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,25,5,mc16e,mc16_13TeV:mc16_13TeV.304795.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS25_lt5m.deriv.DAOD_EXOT15.e4754_e5984_s3126_r10724_r10726_p3782,0,signal,"H to 4 b sample, lifetime short"
125,35,5,mc16a,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,"signal,lowmass",
125,35,5,mc16d,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,"signal,lowmass",
125,35,5,mc16e,mc16_13TeV:mc16_13TeV.311312.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,"signal,lowmass",
125,35,9,mc16a,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,35,9,mc16d,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,35,9,mc16e,mc16_13TeV:mc16_13TeV.311313.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,55,5,mc16a,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,55,5,mc16d,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,55,5,mc16e,mc16_13TeV:mc16_13TeV.311314.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
125,55,9,mc16a,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r9364_r9315_p3795,1,signal,
125,55,9,mc16d,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10201_r10210_p3795,1,signal,
125,55,9,mc16e,mc16_13TeV:mc16_13TeV.311315.MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh.deriv.DAOD_EXOT15.e7270_e5984_s3234_r10724_r10726_p3795,1,signal,
200,50,5,mc16a,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
200,50,5,mc16d,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10201_r10210_p3795,1,signal,
200,50,5,mc16e,mc16_13TeV:mc16_13TeV.311419.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50.deriv.DAOD_EXOT15.e7357_e5984_s3234_r10724_r10726_p3795,1,signal,
400,100,5,mc16a,mc16_13TeV:mc16_13TeV.311420.MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH400_mS100.deriv.DAOD_EXOT15.e7357_e5984_s3234_r9364_r9315_p3795,1,signal,
